dataset_case,method,noise,seed,accuracy,neighbor_overlap,embed_time_sec,pipeline_time_sec,ambient_dim,embed_dim,accuracy_pct,neighbor_overlap_pct,embed_time_ms,pipeline_time_ms
holes,sparse_rp,0.35,0,0.94,0.3981666666666666,0.0004297909999877447,0.010190125000008265,30,2,94.0,39.81666666666666,0.4297909999877447,10.190125000008265
holes,sparse_rp,0.35,1,0.93,0.40391666666666665,0.00046337499952642247,0.010655709000275237,30,2,93.0,40.391666666666666,0.46337499952642247,10.655709000275237
holes,sparse_rp,0.35,2,0.9633333333333334,0.34175,0.00046458399992843624,0.01049300000158837,30,2,96.33333333333334,34.175,0.46458399992843624,10.49300000158837
holes,isomap,0.0,0,0.9933333333333333,0.5164166666666667,0.1513896249998652,0.3988973329996952,30,2,99.33333333333333,51.64166666666667,151.3896249998652,398.8973329996952
holes,isomap,0.0,1,0.9766666666666667,0.5284166666666666,0.13930058400001144,0.39086358299937274,30,2,97.66666666666667,52.84166666666666,139.30058400001144,390.86358299937274
holes,isomap,0.0,2,0.9633333333333334,0.64075,0.14685466599985375,0.39376158300001407,30,2,96.33333333333334,64.075,146.85466599985375,393.76158300001407
holes,isomap,0.1,0,0.9833333333333333,0.4845833333333333,0.13698954099891125,0.3806915420009318,30,2,98.33333333333333,48.45833333333333,136.98954099891125,380.6915420009318
holes,isomap,0.1,1,0.9733333333333334,0.7035,0.13822950000030687,0.38576895799997146,30,2,97.33333333333334,70.35,138.22950000030687,385.76895799997146
holes,isomap,0.1,2,0.96,0.5635833333333334,0.14361708300020837,0.38935016700088454,30,2,96.0,56.35833333333334,143.61708300020837,389.35016700088454
holes,isomap,0.2,0,0.9933333333333333,0.47583333333333333,0.14969887500046752,0.398443916999895,30,2,99.33333333333333,47.583333333333336,149.69887500046752,398.443916999895
holes,isomap,0.2,1,0.9733333333333334,0.68825,0.14034212499973364,0.38853591599945503,30,2,97.33333333333334,68.825,140.34212499973364,388.535915999455
holes,isomap,0.2,2,0.96,0.6175,0.14028187500116474,0.39183841699923505,30,2,96.0,61.75000000000001,140.28187500116474,391.83841699923505
holes,isomap,0.35,0,0.9933333333333333,0.6411666666666667,0.135388624999905,0.381424249999327,30,2,99.33333333333333,64.11666666666666,135.388624999905,381.424249999327
holes,isomap,0.35,1,0.9733333333333334,0.6680833333333334,0.13528858400059107,0.3745590420003282,30,2,97.33333333333334,66.80833333333334,135.28858400059107,374.5590420003282
holes,isomap,0.35,2,0.9666666666666667,0.5719166666666666,0.13182516699998814,0.37245099999927334,30,2,96.66666666666667,57.19166666666666,131.82516699998814,372.45099999927334
holes,lle,0.0,0,0.9,0.17225,0.05815716600045562,0.1302374159986357,30,2,90.0,17.224999999999998,58.15716600045562,130.2374159986357
